number,value,state,datetime_start,datetime_complete,duration_seconds,params_json,fold_sharpes_json,avg_cv_sharpe
20,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.487247,2026-04-01T02:11:07.502926,0.015679,"{""atr_window"": 19, ""bb_std_dev"": 2.1, ""bb_window"": 23, ""cooldown"": 4, ""macd_fast"": 14, ""macd_k"": 1.3, ""macd_k_mid"": 0.9, ""macd_signal"": 9, ""macd_slow"": 41, ""macd_std_window"": 100, ""rebalance_freq"": 180, ""rebounce_block"": 6, ""sl_mult_lm"": 1.25, ""sl_mult_lr"": 2.9, ""sl_mult_sm"": 1.55, ""sl_mult_sr"": 1.8, ""time_stop"": 0, ""tp_mult_lm"": 5.4, ""tp_mult_lr"": 11.8, ""tp_mult_sm"": 4.5, ""tp_mult_sr"": 4.2, ""trail_mult"": 4.0, ""trail_tp"": true, ""use_trailing"": true}",{},
21,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.536129,2026-04-01T02:11:07.551484,0.015355,"{""atr_window"": 14, ""bb_std_dev"": 1.8499999999999999, ""bb_window"": 14, ""cooldown"": 5, ""macd_fast"": 18, ""macd_k"": 1.0, ""macd_k_mid"": 0.6, ""macd_signal"": 8, ""macd_slow"": 43, ""macd_std_window"": 99, ""rebalance_freq"": 60, ""rebounce_block"": 5, ""sl_mult_lm"": 1.9, ""sl_mult_lr"": 2.4, ""sl_mult_sm"": 1.25, ""sl_mult_sr"": 1.5, ""time_stop"": 22, ""tp_mult_lm"": 4.2, ""tp_mult_lr"": 12.8, ""tp_mult_sm"": 3.5, ""tp_mult_sr"": 6.1, ""trail_mult"": 2.2, ""trail_tp"": false, ""use_trailing"": true}",{},
22,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.583020,2026-04-01T02:11:07.626365,0.043345,"{""atr_window"": 14, ""bb_std_dev"": 1.75, ""bb_window"": 15, ""cooldown"": 4, ""macd_fast"": 20, ""macd_k"": 1.1, ""macd_k_mid"": 0.55, ""macd_signal"": 8, ""macd_slow"": 43, ""macd_std_window"": 96, ""rebalance_freq"": 120, ""rebounce_block"": 5, ""sl_mult_lm"": 1.9500000000000002, ""sl_mult_lr"": 2.3, ""sl_mult_sm"": 1.2, ""sl_mult_sr"": 1.7, ""time_stop"": 20, ""tp_mult_lm"": 3.8, ""tp_mult_lr"": 15.8, ""tp_mult_sm"": 4.5, ""tp_mult_sr"": 5.9, ""trail_mult"": 2.1, ""trail_tp"": false, ""use_trailing"": true}",{},
23,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.656633,2026-04-01T02:11:07.670681,0.014048,"{""atr_window"": 14, ""bb_std_dev"": 2.3, ""bb_window"": 14, ""cooldown"": 3, ""macd_fast"": 16, ""macd_k"": 1.1, ""macd_k_mid"": 0.65, ""macd_signal"": 7, ""macd_slow"": 44, ""macd_std_window"": 96, ""rebalance_freq"": 60, ""rebounce_block"": 6, ""sl_mult_lm"": 1.5, ""sl_mult_lr"": 2.6, ""sl_mult_sm"": 1.4, ""sl_mult_sr"": 1.7, ""time_stop"": 9, ""tp_mult_lm"": 4.5, ""tp_mult_lr"": 13.600000000000001, ""tp_mult_sm"": 4.1, ""tp_mult_sr"": 5.0, ""trail_mult"": 1.9, ""trail_tp"": false, ""use_trailing"": true}",{},
24,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.714335,2026-04-01T02:11:07.728108,0.013773,"{""atr_window"": 16, ""bb_std_dev"": 2.4, ""bb_window"": 16, ""cooldown"": 4, ""macd_fast"": 13, ""macd_k"": 1.0, ""macd_k_mid"": 0.55, ""macd_signal"": 9, ""macd_slow"": 42, ""macd_std_window"": 87, ""rebalance_freq"": 30, ""rebounce_block"": 4, ""sl_mult_lm"": 1.0, ""sl_mult_lr"": 2.1, ""sl_mult_sm"": 1.2, ""sl_mult_sr"": 2.0, ""time_stop"": 25, ""tp_mult_lm"": 4.4, ""tp_mult_lr"": 12.4, ""tp_mult_sm"": 3.3, ""tp_mult_sr"": 5.4, ""trail_mult"": 3.4000000000000004, ""trail_tp"": false, ""use_trailing"": true}",{},
25,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.760921,2026-04-01T02:11:07.773199,0.012278,"{""atr_window"": 12, ""bb_std_dev"": 1.7999999999999998, ""bb_window"": 15, ""cooldown"": 2, ""macd_fast"": 11, ""macd_k"": 1.25, ""macd_k_mid"": 0.6, ""macd_signal"": 8, ""macd_slow"": 43, ""macd_std_window"": 78, ""rebalance_freq"": 150, ""rebounce_block"": 5, ""sl_mult_lm"": 1.65, ""sl_mult_lr"": 3.3, ""sl_mult_sm"": 1.9, ""sl_mult_sr"": 1.6, ""time_stop"": 19, ""tp_mult_lm"": 4.0, ""tp_mult_lr"": 11.4, ""tp_mult_sm"": 3.8, ""tp_mult_sr"": 3.5, ""trail_mult"": 2.4, ""trail_tp"": false, ""use_trailing"": true}",{},
26,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.804530,2026-04-01T02:11:07.817388,0.012858,"{""atr_window"": 13, ""bb_std_dev"": 1.95, ""bb_window"": 19, ""cooldown"": 5, ""macd_fast"": 16, ""macd_k"": 1.1, ""macd_k_mid"": 0.75, ""macd_signal"": 10, ""macd_slow"": 44, ""macd_std_window"": 94, ""rebalance_freq"": 120, ""rebounce_block"": 4, ""sl_mult_lm"": 1.1, ""sl_mult_lr"": 2.3, ""sl_mult_sm"": 1.3, ""sl_mult_sr"": 2.4, ""time_stop"": 15, ""tp_mult_lm"": 5.800000000000001, ""tp_mult_lr"": 9.0, ""tp_mult_sm"": 4.8, ""tp_mult_sr"": 7.0, ""trail_mult"": 2.9000000000000004, ""trail_tp"": false, ""use_trailing"": false}",{},
27,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.846477,2026-04-01T02:11:07.861098,0.014621,"{""atr_window"": 17, ""bb_std_dev"": 2.15, ""bb_window"": 14, ""cooldown"": 3, ""macd_fast"": 18, ""macd_k"": 1.6, ""macd_k_mid"": 0.5, ""macd_signal"": 9, ""macd_slow"": 42, ""macd_std_window"": 73, ""rebalance_freq"": 90, ""rebounce_block"": 3, ""sl_mult_lm"": 1.45, ""sl_mult_lr"": 2.7, ""sl_mult_sm"": 1.1, ""sl_mult_sr"": 1.9, ""time_stop"": 11, ""tp_mult_lm"": 5.0, ""tp_mult_lr"": 10.6, ""tp_mult_sm"": 5.2, ""tp_mult_sr"": 6.2, ""trail_mult"": 2.0, ""trail_tp"": false, ""use_trailing"": true}",{},
28,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.894756,2026-04-01T02:11:07.909624,0.014868,"{""atr_window"": 19, ""bb_std_dev"": 1.5, ""bb_window"": 16, ""cooldown"": 1, ""macd_fast"": 15, ""macd_k"": 1.75, ""macd_k_mid"": 0.65, ""macd_signal"": 8, ""macd_slow"": 40, ""macd_std_window"": 88, ""rebalance_freq"": 60, ""rebounce_block"": 6, ""sl_mult_lm"": 1.9, ""sl_mult_lr"": 3.2, ""sl_mult_sm"": 1.55, ""sl_mult_sr"": 2.7, ""time_stop"": 23, ""tp_mult_lm"": 4.8, ""tp_mult_lr"": 14.0, ""tp_mult_sm"": 4.5, ""tp_mult_sr"": 6.7, ""trail_mult"": 1.5, ""trail_tp"": true, ""use_trailing"": true}",{},
29,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.940875,2026-04-01T02:11:07.954135,0.01326,"{""atr_window"": 15, ""bb_std_dev"": 2.3, ""bb_window"": 18, ""cooldown"": 2, ""macd_fast"": 13, ""macd_k"": 1.3, ""macd_k_mid"": 0.5, ""macd_signal"": 10, ""macd_slow"": 43, ""macd_std_window"": 84, ""rebalance_freq"": 180, ""rebounce_block"": 2, ""sl_mult_lm"": 2.05, ""sl_mult_lr"": 3.6, ""sl_mult_sm"": 1.1, ""sl_mult_sr"": 3.5, ""time_stop"": 27, ""tp_mult_lm"": 5.2, ""tp_mult_lr"": 15.2, ""tp_mult_sm"": 4.0, ""tp_mult_sr"": 5.300000000000001, ""trail_mult"": 2.6, ""trail_tp"": false, ""use_trailing"": false}",{},
